          Date Of Operation:,01/01/2010 to 04/03/2021,,,,,,,,,,,,,,,,,,,,,,,,,
Date Mode:,ERP Transaction Date,,,,,,,,,,,,,,,,,,,,,,,,,
Branch:,1/1/2010,,,,,,,,,,,,,,,,,,,,,,,,,
Department:,All,,,,,,,,,,,,,,,,,,,,,,,,,
Sr.,Date,Academic Year,Session,Alloted Category,Voucher Type,Voucher No.,Roll No.,Admno/UniqueId,Status,Fee Category,Faculty,Program,Department,Batch,Receipt No.,Fee Head,Due Amount,Paid Amount,Concession Amount,Scholarship Amount,Reverse Concession Amount,Write Off Amount,Adjusted Amount,Refund Amount,Fund Transfer Amount,Remarks
1090,8/7/2011,2011-2012,2011-2012,AIE,RCPT,897895,11CCICMCA102049,11CCICMCA102049,No Information,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 I Sem II,733,Security Fee,0,10000,0,0,0,0,0,0,0,
1091,8/7/2011,2011-2012,2011-2012,AIE,RCPT,890941,11CETBT103019,11CETBT103019,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 IV Sem VIII,817,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1092,8/7/2011,2011-2012,2011-2012,AIE,RCPT,890941,11CETBT103019,11CETBT103019,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 IV Sem VIII,817,Security Fee,0,10000,0,0,0,0,0,0,0,
1093,8/7/2011,2011-2012,2011-2012,AIE,RCPT,890950,11CETBT103018,11CETBT103018,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 IV Sem VIII,810,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1094,8/7/2011,2011-2012,2011-2012,AIE,RCPT,890950,11CETBT103018,11CETBT103018,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 IV Sem VIII,810,Security Fee,0,10000,0,0,0,0,0,0,0,
1095,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885398,11COMMBA101079,11COMMBA101079,No Information,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 I Sem II,783,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1096,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885398,11COMMBA101079,11COMMBA101079,No Information,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 I Sem II,783,Security Fee,0,10000,0,0,0,0,0,0,0,
1097,8/7/2011,2011-2012,2011-2012,AIE,SCHOLARSHIP,615824,11CETBT102093,11CETBT102093,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,,TUITION FEE,0,0,0,32000,0,0,0,0,0,
1098,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885396,11COMMBA101080,11COMMBA101080,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,794,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1099,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885396,11COMMBA101080,11COMMBA101080,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,794,Security Fee,0,10000,0,0,0,0,0,0,0,
1100,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885388,11COMMBA101081,11COMMBA101081,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,797,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1101,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885388,11COMMBA101081,11COMMBA101081,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,797,Security Fee,0,10000,0,0,0,0,0,0,0,
1102,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885383,11COMMBA101082,11COMMBA101082,No Information,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 I Sem II,803,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1103,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885383,11COMMBA101082,11COMMBA101082,No Information,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 I Sem II,803,Security Fee,0,10000,0,0,0,0,0,0,0,
1104,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885401,11COMMBA101078,11COMMBA101078,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,768,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1105,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885401,11COMMBA101078,11COMMBA101078,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,768,Security Fee,0,10000,0,0,0,0,0,0,0,
1106,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885406,11COMMBA101077,11COMMBA101077,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,773,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1107,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885406,11COMMBA101077,11COMMBA101077,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,773,Security Fee,0,10000,0,0,0,0,0,0,0,
1108,8/7/2011,2011-2012,2011-2012,AIE,RCPT,890952,11CETBT103017,11CETBT103017,No Information,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 I Sem II,727,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1109,8/7/2011,2011-2012,2011-2012,AIE,RCPT,890952,11CETBT103017,11CETBT103017,No Information,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 I Sem II,727,Security Fee,0,10000,0,0,0,0,0,0,0,
1110,8/7/2011,2011-2012,2011-2012,AIE,RCPT,890963,11CETBT103016,11CETBT103016,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 IV Sem VIII,2963,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1111,8/7/2011,2011-2012,2011-2012,AIE,RCPT,890963,11CETBT103016,11CETBT103016,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 IV Sem VIII,2963,Ajustable_Excess_Amount,0,6000,0,0,0,0,0,0,0,
1112,8/7/2011,2011-2012,2011-2012,AIE,RCPT,890963,11CETBT103016,11CETBT103016,Alumni,General,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering,School of Civil Engineering,B.Tech/B.Tech (Hons) Civil Engineering 2011-2012 IV Sem VIII,2963,Security Fee,0,10000,0,0,0,0,0,0,0,
1113,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885414,11COMMBA101075,11COMMBA101075,No Information,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 I Sem II,719,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1114,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885414,11COMMBA101075,11COMMBA101075,No Information,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 I Sem II,719,Security Fee,0,10000,0,0,0,0,0,0,0,
1115,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885412,11COMMBA101076,11COMMBA101076,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,746,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1116,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885412,11COMMBA101076,11COMMBA101076,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,746,Security Fee,0,10000,0,0,0,0,0,0,0,
1117,8/7/2011,2011-2012,2011-2012,AIE,RCPT,897881,11CCICMCA102051,11CCICMCA102051,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,750,TUITION FEE,0,92000,0,0,0,0,0,0,0,
1118,8/7/2011,2011-2012,2011-2012,AIE,RCPT,897881,11CCICMCA102051,11CCICMCA102051,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,750,Security Fee,0,10000,0,0,0,0,0,0,0,
1119,8/7/2011,2011-2012,2011-2012,AIE,RCPT,897873,11CCICMCA102052,11CCICMCA102052,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,752,TUITION FEE,0,92000,0,0,0,0,0,0,0,
1120,8/7/2011,2011-2012,2011-2012,AIE,RCPT,897873,11CCICMCA102052,11CCICMCA102052,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,752,Security Fee,0,10000,0,0,0,0,0,0,0,
1121,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888746,11CETBT105098,11CETBT105098,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,774,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1122,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888746,11CETBT105098,11CETBT105098,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,774,Security Fee,0,10000,0,0,0,0,0,0,0,
1123,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888737,11CETBT105099,11CETBT105099,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,766,TUITION FEE,0,118000,0,0,0,0,0,0,0,
1124,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888737,11CETBT105099,11CETBT105099,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,766,Security Fee,0,10000,0,0,0,0,0,0,0,
1125,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888753,11CETBT105097,11CETBT105097,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,759,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1126,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888753,11CETBT105097,11CETBT105097,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,759,Security Fee,0,10000,0,0,0,0,0,0,0,
1127,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888763,11CETBT105096,11CETBT105096,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,753,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1128,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888763,11CETBT105096,11CETBT105096,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,753,Security Fee,0,10000,0,0,0,0,0,0,0,
1129,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888770,11CETBT105095,11CETBT105095,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,758,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1130,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888770,11CETBT105095,11CETBT105095,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,758,Security Fee,0,10000,0,0,0,0,0,0,0,
1131,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888736,11CETBT105099,11CETBT105099,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,767,TUITION FEE,0,10000,0,0,0,0,0,0,0,
1132,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888730,11CETBT105100,11CETBT105100,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,811,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1133,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888730,11CETBT105100,11CETBT105100,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,811,Security Fee,0,10000,0,0,0,0,0,0,0,
1134,8/7/2011,2011-2012,2011-2012,AIE,RCPT,886617,11CETMT105004,11CETMT105004,Alumni,General,School of Electrical Electronics & Communication Engineering,M.Tech Communication Engineering,School of Electrical  Electronics,M.Tech Communication Engineering 2011-2012 II Sem IV,745,TUITION FEE,0,74000,0,0,0,0,0,0,0,
1135,8/7/2011,2011-2012,2011-2012,AIE,RCPT,886617,11CETMT105004,11CETMT105004,Alumni,General,School of Electrical Electronics & Communication Engineering,M.Tech Communication Engineering,School of Electrical  Electronics,M.Tech Communication Engineering 2011-2012 II Sem IV,745,Security Fee,0,10000,0,0,0,0,0,0,0,
1136,8/7/2011,2011-2012,2011-2012,AIE,RCPT,886419,11COMBB101016,11COMBB101016,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,3069,TUITION FEE,0,65000,0,0,0,0,0,0,0,
1137,8/7/2011,2011-2012,2011-2012,AIE,RCPT,886419,11COMBB101016,11COMBB101016,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,3069,Ajustable_Excess_Amount,0,6000,0,0,0,0,0,0,0,
1138,8/7/2011,2011-2012,2011-2012,AIE,RCPT,886419,11COMBB101016,11COMBB101016,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,3069,Security Fee,0,10000,0,0,0,0,0,0,0,
1139,8/7/2011,2011-2012,2011-2012,AIE,RCPT,886418,11COMBB101016,11COMBB101016,Alumni,General,School of Business,Bachelor of Business Administration,School of Business,BBA 2011-2012 III Sem VI,3068,Ajustable_Excess_Amount,0,6000,0,0,0,0,0,0,0,
1140,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888723,11CETBT105101,11CETBT105101,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,3037,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1141,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888723,11CETBT105101,11CETBT105101,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,3037,Security Fee,0,10000,0,0,0,0,0,0,0,
1142,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888776,11CETBT105094,11CETBT105094,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,738,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1143,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888776,11CETBT105094,11CETBT105094,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,738,Security Fee,0,10000,0,0,0,0,0,0,0,
1144,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888788,11CETBT105093,11CETBT105093,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,730,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1145,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888788,11CETBT105093,11CETBT105093,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,730,Security Fee,0,10000,0,0,0,0,0,0,0,
1146,8/7/2011,2011-2012,2011-2012,AIE,RCPT,892926,11CETBT102065,11CETBT102065,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,2927,TUITION FEE,0,45000,0,0,0,0,0,0,0,
1147,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888835,11CETBT105085,11CETBT105085,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,685,TUITION FEE,0,118000,0,0,0,0,0,0,0,
1148,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888835,11CETBT105085,11CETBT105085,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,685,Security Fee,0,10000,0,0,0,0,0,0,0,
1149,8/7/2011,2011-2012,2011-2012,AIE,RCPT,897857,11CCICMCA102054,11CCICMCA102054,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,796,TUITION FEE,0,92000,0,0,0,0,0,0,0,
1150,8/7/2011,2011-2012,2011-2012,AIE,RCPT,897857,11CCICMCA102054,11CCICMCA102054,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,796,Security Fee,0,10000,0,0,0,0,0,0,0,
1151,8/7/2011,2011-2012,2011-2012,AIE,RCPT,897866,11CCICMCA102053,11CCICMCA102053,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,790,TUITION FEE,0,92000,0,0,0,0,0,0,0,
1152,8/7/2011,2011-2012,2011-2012,AIE,RCPT,897866,11CCICMCA102053,11CCICMCA102053,Alumni,General,School of Computing Science & Engineering,MCA,School of Computing Science,MCA 2011-2012 III Sem VI,790,Security Fee,0,10000,0,0,0,0,0,0,0,
1153,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888824,11CETBT105086,11CETBT105086,No Information,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 I Sem II,687,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1154,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888824,11CETBT105086,11CETBT105086,No Information,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 I Sem II,687,Security Fee,0,10000,0,0,0,0,0,0,0,
1155,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888823,11CETBT105087,11CETBT105087,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,697,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1156,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888823,11CETBT105087,11CETBT105087,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,697,Security Fee,0,10000,0,0,0,0,0,0,0,
1157,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888794,11CETBT105092,11CETBT105092,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,729,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1158,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888794,11CETBT105092,11CETBT105092,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,729,Security Fee,0,10000,0,0,0,0,0,0,0,
1159,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888795,11CETBT105090,11CETBT105090,No Information,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,ELECTRONICS AND COMMUNICATION ENGINEERING-2016-17 II Sem IV,709,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1160,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888795,11CETBT105090,11CETBT105090,No Information,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,ELECTRONICS AND COMMUNICATION ENGINEERING-2016-17 II Sem IV,709,Security Fee,0,10000,0,0,0,0,0,0,0,
1161,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888805,11CETBT105089,11CETBT105089,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,701,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1162,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888805,11CETBT105089,11CETBT105089,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,701,Security Fee,0,10000,0,0,0,0,0,0,0,
1163,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888811,11CETBT105088,11CETBT105088,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,700,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1164,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888811,11CETBT105088,11CETBT105088,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,700,Security Fee,0,10000,0,0,0,0,0,0,0,
1165,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885381,11COMMBA101083,11COMMBA101083,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,3090,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1166,8/7/2011,2011-2012,2011-2012,AIE,RCPT,885381,11COMMBA101083,11COMMBA101083,Alumni,General,School of Business,MBA in dual specialization ,School of Business,MBA in dual specialization  2011-2012 II Sem IV,3090,Security Fee,0,10000,0,0,0,0,0,0,0,
1167,8/7/2011,2011-2012,2011-2012,AIE,RCPT,888834,11CETBT105085,11CETBT105085,Alumni,General,School of Electrical Electronics & Communication Engineering,B.Tech/B.Tech (Hons) Electronics & Communications Engineering,School of Electrical  Electronics,B.Tech/B.Tech (Hons) Electronics & Comm. Engineering 2011-2012 IV Sem VIII,686,TUITION FEE,0,10000,0,0,0,0,0,0,0,
1168,8/7/2011,2011-2012,2011-2012,AIE,RCPT,892811,11CETBT102081,11CETBT102081,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,799,TUITION FEE,0,36000,0,0,0,0,0,0,0,
1169,8/7/2011,2011-2012,2011-2012,AIE,RCPT,892811,11CETBT102081,11CETBT102081,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,799,Security Fee,0,10000,0,0,0,0,0,0,0,
1170,8/7/2011,2011-2012,2011-2012,AIE,RCPT,892810,11CETBT102081,11CETBT102081,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,801,TUITION FEE,0,46000,0,0,0,0,0,0,0,
1171,8/7/2011,2011-2012,2011-2012,AIE,RCPT,892817,11CETBT102080,11CETBT102080,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,785,TUITION FEE,0,128000,0,0,0,0,0,0,0,
1172,8/7/2011,2011-2012,2011-2012,AIE,RCPT,892817,11CETBT102080,11CETBT102080,Alumni,General,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering,School of Mechanical Engineering,B.Tech/B.Tech (Hons) Mechanical Engineering 2011-2012 IV Sem VIII,785,Security Fee,0,10000,0,0,0,0,0,0,0,
